PLAYER_ID,FirstName,LastName,Wins,Losses,PreviousWins,PreviousLosses,PlayerWinPercent,Points,Rebounds,Assists,Steals,Blocks,MissedFieldGoals,MissedFreeThrows,TurnOvers
1629168,BJ,Johnson,2,2,2,6,0.5,6.5,3.8,0,0,0.3,3.5,0,0
1628389,Bam,Adebayo,31,20,34,30,0.608,19.1,10.2,3.4,1.5,0.8,5.9,1.4,2.7
203463,Ben,McLemore,20,37,20,33,0.351,9.7,1.6,0.8,0.5,0.2,5,0.2,0.8
202687,Bismack,Biyombo,28,3,42,16,0.903,5.6,4.4,0.6,0.4,0.7,1.6,0.9,0.7
201933,Blake,Griffin,29,26,28,38,0.527,6.5,4.1,1.9,0.5,0.3,3.3,0.4,0.6
1626246,Boban,Marjanovic,12,8,24,22,0.6,4.3,1.6,0.1,0,0.2,1.1,0.4,0.6
1626171,Bobby,Portis,41,24,14,19,0.631,14.8,9.2,1.2,0.7,0.8,6.4,0.4,1.3
203992,Bogdan,Bogdanovic,28,28,44,22,0.5,14.9,3.9,3.1,1.1,0.2,7,0.3,1.2
202711,Bojan,Bogdanovic,42,22,30,14,0.656,18.1,4.3,1.7,0.4,0,7.2,0.5,1.7
1629626,Bol,Bol,5,9,52,20,0.357,2.4,1.4,0.4,0.1,0.1,0.8,0.3,0.3
1630538,Bones,Hyland,38,25,21,11,0.603,9.7,2.7,2.5,0.6,0.2,4.8,0.3,1.2
202954,Brad,Wanamaker,10,13,29,32,0.435,3.6,1.7,2.4,0.3,0.3,2.1,0.1,1
203078,Bradley,Beal,17,23,32,28,0.425,23.2,4.7,6.6,0.9,0.4,10.6,0.9,3.4
1630527,Brandon,Boston,25,25,32,27,0.5,6.5,2.1,0.9,0.5,0.2,3.9,0.3,0.6
1629634,Brandon,Clarke,41,18,25,22,0.695,10.3,5.5,1.3,0.6,1.1,2.5,0.7,0.5
1629164,Brandon,Goodwin,17,14,29,32,0.548,5,2.1,2.9,0.7,0,2.5,0.4,1
1627742,Brandon,Ingram,26,25,1,5,0.51,22.9,5.7,5.5,0.6,0.5,9.7,1.1,2.7
202688,Brandon,Knight,1,2,6,26,0.333,10,2.3,2.7,0.3,0,3.7,0,1.3
1630314,Brandon,Williams,2,16,46,24,0.111,14.1,3.2,3.4,1.1,0.4,7.6,1.4,2.3
1630296,Braxton,Key,2,2,45,20,0.5,3.8,2.3,0.3,0.8,0.8,2,0,1
1630271,Brodric,Thomas,6,4,1,5,0.6,1.5,0.7,0.8,0,0.1,0.9,0.2,0.4
201572,Brook,Lopez,5,2,20,13,0.714,9.3,3.7,0.9,0.6,1.3,4.6,0.3,0.9
1628971,Bruce,Brown,32,34,45,25,0.485,8.3,4.7,1.8,1.1,0.6,3.3,0.4,0.7
1628981,Bruno,Fernando,15,13,31,40,0.536,2.1,1.4,0.1,0,0.3,0.5,0.1,0.3
1627854,Bryn,Forbes,35,37,19,11,0.486,8.8,1.3,1,0.3,0.1,4.1,0.1,0.8
